DBA,ID,NUM,HOURS,ADDRESS,CITY,STATE,ZIP,FULL ADDRESS,Latitude,Longitude
Marathon Station,K1035,1035,24 hours,10550 W Jefferson,River Rouge,MI,48218,"10550 W Jefferson, River Rouge, MI, 48218",42.27394473,-83.13471996
Detroit Police Tow Lot - Grand River -Physically swapped with 0905,K2037,2037,,10750 Grand River Ave,Detroit,MI,48204,"10750 Grand River Ave, Detroit, MI, 48204",42.3746275,-83.14943222
Parkway Foods,K2017,2017,M-S 8a-8p Sun 8-6,11250 E. Jefferson Ave.,Detroit,MI,48214,"11250 E. Jefferson Ave., Detroit, Mi, 48214",42.36551483,-82.97090404
University Food Center,K2020,2020,M-S 8a - 8p Su 8a - 6p,1131 W Warren Ave,Detroit,MI,48201,"1131 W Warren Ave, Detroit, MI, 48201",42.35292897,-83.07442827
Detroit Police Tow Lot - Mt Elliot,K2036,2036,,11631 Mt. Elliott,Hamtramck,MI,48212,"11631 Mt. Elliott, Hamtramck, MI, 48212",42.40807932,-83.03954617
Detroit Assn of Black Organizations,K2043,2043,7 days 10am - 7 pm,12048 Grand River,Detroit,MI,48204,"12048 Grand River, Detroit, MI, 48204",42.37704302,-83.15840919
Walter's Shopping Place,K2022,2022,8am - midnight 7 days,12197 Conant St,Hamtramck,MI,48212,"12197 Conant St, Hamtramck, MI, 48212",42.40876516,-83.05713159
Redford Water Department-Outdoor Unit,K2075,2075,24 Hours,12200 Beech Daly,Redford Twp,MI,48239,"12200 Beech Daly, Redford Twp, MI, 48239",42.3759591,-83.29442914
Gratiot Rigley Food and Drugs,K1033,1033,"M-Th 9:30am - 1:00am , F/S 9:30am - 2:00am, Sun 10:00am - 1:00am",12278 Gratiot Ave.,Detroit,MI,48205,"12278 Gratiot Ave., Detroit, MI, 48205",42.4156874,-82.98996746
Super Greenland Market,K2060,2060,8am - 9pm 7days,12715 W Warren Ave,Dearborn,MI,48126,"12715 W Warren Ave, Dearborn, MI, 48126",42.3440303,-83.16751766
Meijer 8 Mile,K2062,2062,6am - 11pm 7 days,1301 Eight Mile Rd,Detroit,MI,48203,"1301 Eight Mile Rd, Detroit, MI, 48203",42.44644133,-83.1193425
Dearborn Fresh SuperMarket - check modem,K2058,2058,8am - 8pm  7days,13661 Colson St,Dearborn,MI,48126,"13661 Colson St, Dearborn, MI, 48126",42.32461002,-83.17709381
Shoppers Market,DTE-01/ 101,1004,"M-S 7a - 10p, S 8a  - 9p",14350 E. 9 Mile Rd,Warren,MI,48089,"14350 E. 9 Mile Rd, Warren, MI, 48089",42.46361001,-82.97530549
Imperial Fresh Markets,RA502,1011,7 days 9am - 9pm,14424 Schaefer Hwy,Detroit,MI,48227,"14424 Schaefer Hwy, Detroit, MI, 48227",42.39445027,-83.177461
Value Save Food Center,RA508,1017,M-S 8a - 9p Su 8a - 7p,14470 Livernois Ave # 1,Detroit,MI,48238,"14470 Livernois Ave # 1, Detroit, MI, 48238",42.39585864,-83.13828464
City of Detroit Municipal Parking Division,K2061,2061,9am - 5pm M-F,1600 W. Lafayette,Detroit,MI,48216,"1600 W. Lafayette, Detroit, MI, 48216",42.32517542,-83.064368
Victory Liquor& Food (#2),K2047,2047,9am-2am (7days),16200 W Warren Ave,Detroit,MI,48228,"16200 W Warren Ave, Detroit, MI, 48228",42.34408794,-83.20408089
Victory Liquor& Food (#1),K2050,2050,9am-2am (7days),16200 W Warren Ave,Detroit,MI,48228,"16200 W Warren Ave, Detroit, MI, 48228",42.34408794,-83.20408089
Royal Fresh Market,RA505,1014,"M-S 8a - 9p, Su 8:30a-7p",16700 Harper Ave,Detroit,MI,48224,"16700 Harper Ave, Detroit, MI, 48224",42.414183,-82.93979884
Dearborn Administrative Center (city hall) - check modem,K2057,2057,Lobby - 24 hours,16901 Michigan Ave,Dearborn,MI,48126,"16901 Michigan Ave, Dearborn, MI, 48126",42.31273445,-83.20581814
Dearborn Administrative Center (city hall),K2051,2051,M-S 8am -9pm,16901 Michigan Ave.,Dearborn,MI,48126,"16901 Michigan Ave., Dearborn, MI, 48126",42.31273445,-83.20581814
Lindsay Liquor,RA510,1021,9am - 2am daily,17256 W Seven Mile Rd,Detroit,MI,48235,"17256 W Seven Mile Rd, Detroit, MI, 48235",42.43055046,-83.21368606
Detroit Detention Center,DTE-06 / 442,1009,24/7,17601 Mound Rd.,Detroit,MI,48212,"17601 Mound Rd., Detroit, MI, 48212",42.42507255,-83.04435092
Detroit Detention Center,K1034,1034,24/7,17601 Mound Rd.,Detroit,MI,48212,"17601 Mound Rd., Detroit, MI, 48212",42.42360854,-83.04471654
Savon Foods,RA511,1022,"M-S 8a-9p, Su 8a-7p",18000 Livernois,Detroit,MI,48221,"18000 Livernois, Detroit, MI, 48221",42.42319902,-83.1406926
Northwest Activities Center,RA514,1025,"M-F 6am - 12am;
Sa-Su 9am - 12am",18100 Meyers,Detroit,MI,48235,"18100 Meyers, Detroit, MI, 48235",42.42332272,-83.16948349
Digimax,RA503,1012,M-S 10a 7 p,18461 W. McNichols,Detroit,MI,48219,"18461 W. McNichols, Detroit, MI, 48219",42.41537598,-83.22413503
Fresh Choice Market,K2073,2073,8am - 9pm 7 days,18801 E 9 Mile Rd,Eastpointe,MI,48021,"18801 E 9 Mile Rd, Eastpointe, MI, 48021",42.4664555,-82.9253928
Foodland,RA518,1029,8am - 10pm M-Sat; Sun 8am - 9pm,18880 W 8 Mile Rd,Southfield,MI,48075,"18880 W 8 Mile Rd, Southfield, MI, 48075",42.44494441,-83.22828736
Family Foods Market,K2055,2055,8am - 9pm 7 days,19230 Harper Ave,Harper Woods,MI,48225,"19230 Harper Ave, Harper Woods, MI, 48225",42.42680444,-82.92583701
Imperial Fresh Market (#2),K1032,1032,"M-S 8a - 9p, Su 8a-8p",1940 E. 8 Mile,Detroit,MI,48234,"1940 E. 8 Mile, Detroit, MI, 48234",42.44619695,-83.08170756
Imperial Fresh Market (#1),RA519,1030,"M-S 8a - 9p, Su 8a-8p",1940 E. 8 Mile,Detroit,MI,48234,"1940 E. 8 Mile, Detroit, MI, 48234",42.44619695,-83.08170756
Vegas Food Center,DTE-05 / 111,1007,"M-S 8a - 9p, Su 8a-8p",19700 Kelly Rd.,Harper Woods,MI,48225,"19700 Kelly Rd., Harper Woods, MI, 48225",42.4408363,-82.94774056
